	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00332	0.66795841	0.68928962	-0.02133121	0.0358639	-0.0453520129422278
MAR00334	1.4276405	1.45072652	-0.02308603	0.05921188	-0.023142844915025
MAR00335	1.32862966	1.35144879	-0.02281913	0.03012892	-0.0245678190883508
MAR00336	1.32863659	1.35145659	-0.02282	0.03011997	-0.024568620765666
MAR00337	0.66732962	0.68866333	-0.02133371	0.03586566	-0.0453993177999788
MAR00338	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00339	1.32863128	1.35144879	-0.02281751	0.03013708	-0.0245660600093451
MAR00340	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00341	0.66732453	0.68865852	-0.02133399	0.03586443	-0.0454002452722543
MAR00342	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00343	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00344	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00345	0.66732453	0.68865852	-0.02133399	0.03586443	-0.0454002452722543
MAR00346	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00347	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00348	1.32891371	1.35173735	-0.02282364	0.03006089	-0.024567425748792
MAR00349	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
MAR00350	0.66806024	0.68939037	-0.02133013	0.03588313	-0.0453429474819194
MAR00351	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00352	1.32987509	1.35273964	-0.02286455	0.02974591	-0.0245934470860953
MAR00353	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
MAR00354	0.66798513	0.68931607	-0.02133094	0.0358689	-0.0453496619449238
MAR00355	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00356	1.32877166	1.35159198	-0.02282032	0.03008724	-0.0245664860707829
MAR00357	0.66034984	0.68170843	-0.02135859	0.03644337	-0.0459242858291619
MAR00358	0.66809971	0.68942942	-0.02132971	0.03589062	-0.0453394314782116
MAR00359	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00360	1.32989576	1.35275093	-0.02285516	0.02995556	-0.0245830644407977
MAR00361	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
