"name"	"mIDH2"	"mIDH1"	"distance"
"217"	"4,7,10-Hexadecatrienoyl"	0	0	0.0063
"218"	"4,7-Decadienoyl"	0	0	0.0063
"219"	"4,8-Dimethylnonanoyl"	0.271509609104352	0.271842870626209	0.0031
"220"	"4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic"	0	0	0.0063
"221"	"4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol"	0	0	0.0063
"222"	"4-hydroxy-2-quinolinecarboxylic"	0.319771345955175	0.315274122442796	-9e-04
"223"	"4-hydroxy-atorvastatin-acid"	0.343357562482329	0.343279268709526	0.0019
"224"	"4-hydroxy-atorvastatin-lactone"	0.343357011732207	0.343276815051694	0.0019
"225"	"4-hydroxyretinoic"	0.35021408448453	0.346543038856002	-7e-04
"226"	"4-hydroxyvitamin"	0	0	0.0063
"227"	"4-methylthio-2-oxobutanoic"	0	0	0.0063
"228"	"5,6-Epoxy-Alpha-Tocopheryl"	0.0662935666612312	0.0657225093646262	0.005
"229"	"5,6-epoxy-(8Z)-tetradecenoic"	0	0	0.0063
"230"	"5,8,11,14,17-Eicosapentenoic"	0.25025208202313	0.257814857406777	0.0084
"231"	"5,8,11,14,17-Eicosapentenoyl"	0	0	0.0063
"232"	"5,8,11,14-Eicosatetraenoyl"	0	0	0.0063
"233"	"5,8,11-Tetradecatrienoyl"	0	0	0.0063
"234"	"5,8-Tetradecadienoyl"	0	0	0.0063
"235"	"5-Dodecenoyl"	0	0	0.0063
"236"	"5-Hydroxyhexanoic"	0.272660454426921	0.277643796208695	0.0063
"237"	"5-Octenoyl"	0	0	0.0063
"238"	"5-S-Cysteinylglycine"	0.366975253531622	0.370678553156633	0.0042
"239"	"5-amino-2-oxopentanoic"	0.381955756969149	0.380805221768835	6e-04
"240"	"6'-beta-carboxy-simvastatin-acid"	0.278873240974638	0.278530639657308	0.0025
"241"	"6'-beta-carboxy-simvastatin-lactone"	0.063317073405957	0.0628200366842907	0.0051
"242"	"6'-beta-hydroxy"	0.278873240974638	0.278530639657308	0.0025
"243"	"6'-beta-hydroxy-lovastatin"	0.278484004131126	0.277992121627333	0.0024
"244"	"6'-beta-hydroxy-lovastatin-acid"	0.146932459738424	0.147624916318745	0.0049
"245"	"6'-beta-hydroxy-methyl-simvastatin-acid"	0.278873240974638	0.278530639657308	0.0025
"246"	"6'-beta-hydroxy-methyl-simvastatin-lactone"	0.063317073405957	0.0628200366842907	0.0051
"247"	"6'-exomethylene-lovastatin"	0.278484004131126	0.277168304613909	0.0018
"248"	"6'-exomethylene-lovastatin-acid"	0.278873240974638	0.278530639657308	0.0025
"249"	"6'-exomethylene-simvastatin-lactone"	0	0	0.0063
"250"	"6-oxo-prostaglandin"	0.43720539464485	0.438827735342838	0.0019
"251"	"7,10,13-Hexadecatrienoyl"	0	0	0.0063
"252"	"7,10-Hexadecadienoyl"	0	0	0.0063
"253"	"7,8-epoxy-(4Z,10Z)-hexadecadienoic"	0	0	0.0063
"254"	"7-Dehydrochenodeoxycholic"	0.253293195713699	0.258548807978909	0.0067
"255"	"7-Dehydrocholic"	0.253293195713699	0.258548807978909	0.0067
"256"	"7-Tetradecenoyl"	0	0	0.0063
"257"	"7-palmitoleic"	0.288069662643775	0.297030720464046	0.0089
"258"	"7Z,10Z-Hexadecadienoic"	0.26765365156144	0.275087181857017	0.0081
"259"	"7alpha-hydroxy-3-oxo-4-cholestenoic"	0.0911253632469011	0.089983323005683	0.0043
"260"	"8,11-eicosadienoic"	0.294263479138574	0.301470403427835	0.0076
"261"	"8,9-epoxy-(5Z)-tetradecenoic"	0	0	0.0063
"262"	"9,10-epoxy-(6Z,12Z)-octadecadienoic"	0	0	0.0063
"263"	"9-Octadecenoyl"	0	0	0.0063
"264"	"9-eicosenoic"	0.247395779595321	0.249945584243194	0.0049
"265"	"9-heptadecylenic"	0.288534639474571	0.295030174938328	0.0072
"266"	"A1BG"	0.349384540143514	0.352526148340231	0.004
"267"	"A1CF"	0.497212237518763	0.519720560755037	0.0157
"268"	"A2M"	0.510302122405624	0.536093524355326	0.0179
"269"	"A2ML1"	0.405094686448069	0.458833532413162	0.0388
"270"	"A2ML1-AS1"	0.205983487998881	0.215207491989496	0.0101
"271"	"A2ML1-AS2"	0.222826753650888	0.241205013300651	0.0163
"272"	"A3GALT2"	0.198424139943395	0.204261366598511	0.0079
"273"	"A4GALT"	0.54413585179995	0.55827269050805	0.0093
"274"	"A4GNT"	0.541838997174719	0.557425435998061	0.0103
"275"	"AAA1"	0.382273409095803	0.369340849191437	-0.0076
"276"	"AAAS"	0.594466853180753	0.576717089573982	-0.0137
"277"	"AACS"	0.628361255074251	0.608841699038803	-0.0154
"278"	"AADAC"	0.586744412200965	0.569098364661348	-0.0135
"279"	"AADACL2"	0.374675576937423	0.354472766473216	-0.0126
"280"	"AADACL3"	0.397437972610508	0.42533008595858	0.0208
"281"	"AADACL4"	0.347100406273778	0.350902122773319	0.0045
"282"	"AADAT"	0.5485782832654	0.560520999235605	0.0077
"283"	"AAG1"	0.511358291309447	0.498702431495371	-0.0091
"284"	"AAGAB"	0.40103221612585	0.434658834382889	0.0248
"285"	"AAK1"	0.70557614281678	0.68460602867915	-0.0174
"286"	"AAMDC"	0.205876936397376	0.207806927113935	0.005
"287"	"AAMP"	0.321246678888659	0.365343224423883	0.0331
"288"	"AANAT"	0.575376810658321	0.570016171233626	-0.0048
"289"	"AAR2"	0.265102098376538	0.262863043487414	0.0013
"290"	"AARS"	0.436112883751322	0.434410864064879	-4e-04
"291"	"AARS1"	0.40645778876436	0.416834075463432	0.0084
"292"	"AARS2"	0.319973384585675	0.372070549302231	0.0387
"293"	"AARSD1"	0.528011089188028	0.516585110674189	-0.0084
"294"	"AASDH"	0.620569108465072	0.615053220465118	-0.0055
"295"	"AASDHPPT"	0.50117776128473	0.524922937220593	0.0166
"296"	"AASS"	0.583345487534284	0.597484564438018	0.0088
"297"	"AATF"	0.555433631932869	0.588870468535484	0.0227
"298"	"AATK"	0.453522704594148	0.467442757591482	0.0103
"299"	"AB019440.1"	0.230469336374794	0.231082010262058	0.0038
"300"	"AB019440.50"	0.230469336374794	0.231082010262058	0.0038
"301"	"ABAT"	0.488971936684355	0.504385939664032	0.0109
"302"	"ABCA1"	0.852190066448223	0.852932412875051	-0.004
"303"	"ABCA10"	0.420305482981352	0.442855306294295	0.0167
"304"	"ABCA11P"	0.412536615618528	0.425319343262033	0.01
"305"	"ABCA12"	0.33102767945042	0.355160651225443	0.019
"306"	"ABCA13"	0.342449236851134	0.388294206502604	0.0341
"307"	"ABCA17P"	0.335499437335869	0.377208542465354	0.0312
"308"	"ABCA2"	0.616859110850954	0.584041175876379	-0.0245
"309"	"ABCA3"	0.586119380258137	0.608143170656927	0.0143
"310"	"ABCA4"	0.522140612141674	0.521811784151109	-6e-04
"311"	"ABCA5"	0.398362247876033	0.424287309603065	0.0194
"312"	"ABCA6"	0.399241823695693	0.368107531631708	-0.0206
"313"	"ABCA7"	0.5046295873353	0.481392939678101	-0.0164
"314"	"ABCA8"	0.576032476655758	0.570960998801029	-0.0046
"315"	"ABCA9"	0.380631552696561	0.395473446128363	0.0119
"316"	"ABCA9-AS1"	0.230007324570602	0.233853769804824	0.0061
"317"	"ABCB1"	0.809008847469357	0.805343410713498	-0.0066
"318"	"ABCB10"	0.398377092939107	0.414687108464537	0.0127
"319"	"ABCB11"	0.782146401804142	0.781632372652302	-0.004
"320"	"ABCB4"	0.712284896684461	0.713544996477057	-0.0019
"321"	"ABCB5"	0.326266654828891	0.332695067382566	0.0066
"322"	"ABCB6"	0.508231088213498	0.509339000728937	6e-04
"323"	"ABCB7"	0.347605021137791	0.374416135435378	0.0207
"324"	"ABCB8"	0.34926526325376	0.333539493251009	-0.0092
"325"	"ABCB9"	0.36832232989379	0.371601425257844	0.0039
"326"	"ABCC1"	0.768967758676622	0.769631069286278	-0.003
"327"	"ABCC10"	0.403700419542823	0.370473214836154	-0.0221
"328"	"ABCC11"	0.669075235502747	0.671640823211829	-4e-04
"329"	"ABCC12"	0.297532054235537	0.348522324175187	0.0382
"330"	"ABCC13"	0.323731969152973	0.348021263686589	0.0192
"331"	"ABCC2"	0.788192080706938	0.787760711262276	-0.004
"332"	"ABCC3"	0.806262318166936	0.806640853963627	-0.0037
"333"	"ABCC4"	0.750727015736406	0.751669750992208	-0.0026
"334"	"ABCC5"	0.608489470821951	0.615936200691866	0.0038
"335"	"ABCC5-AS1"	0.2242311581619	0.227291589008412	0.0056
"336"	"ABCC6"	0.361095359534234	0.403498352865217	0.0314
"337"	"ABCC6P1"	0.33931719981928	0.388710369690152	0.0366
"338"	"ABCC6P2"	0.290075263563767	0.37156154522484	0.0597
"339"	"ABCC8"	0.349327907352376	0.378431807235019	0.0222
"340"	"ABCC9"	0.336246020785954	0.364274328719413	0.0217
