A	B	scaled_weight
MAR03622	cholesterol-ester-9,12,15,18-tetraco[r]	0.263377381869988
MAR03622	cholesterol-ester-9-eicose[r]	0.263377381869988
MAR03622	cholesterol-ester-9-heptade[r]	0.263377381869988
MAR03622	cholesterol-ester-9-octa[r]	0.263377381869988
MAR03622	cholesterol-ester-9-tetrade[r]	0.263377381869988
MAR03622	cholesterol-ester-arach[r]	0.263377381869988
MAR03622	cholesterol-ester-cis-vac[r]	0.263377381869988
MAR03622	cholesterol-ester-dihomo-gamma[r]	0.263377381869988
MAR03622	cholesterol-ester-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-gamma-lin[r]	0.263377381869988
MAR03622	cholesterol-ester-heneico[r]	0.263377381869988
MAR03622	cholesterol-ester-hepta[r]	0.263377381869988
MAR03622	cholesterol-ester-hexacosa[r]	0.263377381869988
MAR03622	cholesterol-ester-hexecose[r]	0.263377381869988
MAR03622	cholesterol-ester-laur[r]	0.263377381869988
MAR03622	cholesterol-ester-lin[r]	0.263377381869988
MAR03622	cholesterol-ester-linolen[r]	0.263377381869988
MAR03622	cholesterol-ester-myrist[r]	0.263377381869988
MAR03622	cholesterol-ester-nanode[r]	0.263377381869988
MAR03622	cholesterol-ester-ol[r]	0.263377381869988
MAR03622	cholesterol-ester-palm[r]	0.263377381869988
MAR03622	cholesterol-ester-palmn[r]	0.263377381869988
MAR03622	cholesterol-ester-penta[r]	0.263377381869988
MAR03622	cholesterol-ester-stea[r]	0.263377381869988
MAR03622	cholesterol-ester-tetraco[r]	0.263377381869988
MAR03622	cholesterol-ester-trico[r]	0.263377381869988
MAR03622	cholesterol-ester-tridec[r]	0.263377381869988
cholesterol[r]	MAR03625	0.706208840124598
lauroyl-CoA[r]	MAR03625	0.706208840124598
cholesterol[r]	MAR03626	0.706208840124594
tridecanoyl-CoA[r]	MAR03626	0.706208840124594
cholesterol[r]	MAR03627	0.706208840124592
myristoyl-CoA[r]	MAR03627	0.706208840124592
(9E)-tetradecenoyl-CoA[r]	MAR03628	0.706208840124595
cholesterol[r]	MAR03628	0.706208840124595
(7Z)-tetradecenoyl-CoA[r]	MAR03629	0.706208840124599
cholesterol[r]	MAR03629	0.706208840124599
5-tetradecenoyl-CoA[r]	MAR03630	0.706208840124593
cholesterol[r]	MAR03630	0.706208840124593
cholesterol[r]	MAR03631	0.706208840124597
pentadecanoyl-CoA[r]	MAR03631	0.706208840124597
cholesterol[r]	MAR03632	0.719316901218665
palmitoyl-CoA[r]	MAR03632	0.719316901218665
7-hexadecenoyl-CoA[r]	MAR03633	0.706208840124594
cholesterol[r]	MAR03633	0.706208840124594
cholesterol[r]	MAR03634	0.702777023810621
palmitoleoyl-CoA[r]	MAR03634	0.702777023810621
cholesterol[r]	MAR03635	0.706208840124593
heptadecanoyl-CoA[r]	MAR03635	0.706208840124593
(10Z)-heptadecenoyl-CoA[r]	MAR03636	0.706208840124595
cholesterol[r]	MAR03636	0.706208840124595
9-heptadecenoyl-CoA[r]	MAR03637	0.706208840124593
cholesterol[r]	MAR03637	0.706208840124593
cholesterol[r]	MAR03638	0.706287386077831
stearoyl-CoA[r]	MAR03638	0.706287386077831
(13Z)-octadecenoyl-CoA[r]	MAR03639	0.706208840124592
cholesterol[r]	MAR03639	0.706208840124592
cholesterol[r]	MAR03640	0.706208840124596
cis-vaccenoyl-CoA[r]	MAR03640	0.706208840124596
cholesterol[r]	MAR03641	0.812110896155888
oleoyl-CoA[r]	MAR03641	0.812110896155888
(9E)-octadecenoyl-CoA[r]	MAR03642	0.706208840124592
cholesterol[r]	MAR03642	0.706208840124592
(7Z)-octadecenoyl-CoA[r]	MAR03643	0.502104405725709
cholesterol[r]	MAR03643	0.502104405725709
(6Z,9Z)-octadecadienoyl-CoA[r]	MAR03644	0.706208840124595
cholesterol[r]	MAR03644	0.706208840124595
cholesterol[r]	MAR03645	0.706208840124595
nonadecanoyl-CoA[r]	MAR03645	0.706208840124595
cholesterol[r]	MAR03646	0.706208840124595
eicosanoyl-CoA[r]	MAR03646	0.706208840124595
(13Z)-eicosenoyl-CoA[r]	MAR03647	0.706208840124592
cholesterol[r]	MAR03647	0.706208840124592
(11Z)-eicosenoyl-CoA[r]	MAR03648	0.706208840124595
cholesterol[r]	MAR03648	0.706208840124595
9-eicosenoyl-CoA[r]	MAR03649	0.706208840124597
cholesterol[r]	MAR03649	0.706208840124597
(8Z,11Z)-eicosadienoyl-CoA[r]	MAR03650	0.706208840124595
cholesterol[r]	MAR03650	0.706208840124595
(5Z,8Z,11Z)-eicosatrienoyl-CoA[r]	MAR03651	0.70620884012459
cholesterol[r]	MAR03651	0.70620884012459
cholesterol[r]	MAR03652	0.706208840124599
heneicosanoyl-CoA[r]	MAR03652	0.706208840124599
cholesterol[r]	MAR03653	0.708481835283296
docosanoyl-CoA[r]	MAR03653	0.708481835283296
(13Z)-docosenoyl-CoA[r]	MAR03654	0.706208840124592
cholesterol[r]	MAR03654	0.706208840124592
(11Z)-docosenoyl-CoA[r]	MAR03655	0.706208840124597
cholesterol[r]	MAR03655	0.706208840124597
cholesterol[r]	MAR03656	0.706208840124597
tricosanoyl-CoA[r]	MAR03656	0.706208840124597
cholesterol[r]	MAR03657	0.706208840124602
tetracosanoyl-CoA[r]	MAR03657	0.706208840124602
(15Z)-tetracosenoyl-CoA[r]	MAR03658	0.706208840124595
cholesterol[r]	MAR03658	0.706208840124595
cholesterol[r]	MAR03659	0.706208840124595
hexacosanoyl-CoA[r]	MAR03659	0.706208840124595
cholesterol[r]	MAR03660	0.706208840124597
hexacosenoyl-CoA[r]	MAR03660	0.706208840124597
cholesterol[r]	MAR03661	0.703433522344748
linolenoyl-CoA[r]	MAR03661	0.703433522344748
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[r]	MAR03662	0.703452573929496
