node	mux	agg	layer1	layer2	layer3	layer4
644	0.7	2.8	1.4	0	0	0
645	5.3	21.2	10.6	0	0	0
646	0.5	2	1	0	0	0
647	4.5	18	9	0	0	0
648	3.7	14.8	7.4	0	0	0
649	5	20	10	0	0	0
650	4.9	19.6	9.8	0	0	0
651	4.9	19.6	9.8	0	0	0
652	7.4	29.6	14.8	0	0	0
653	6.9	27.6	13.8	0	0	0
654	2	8	4	0	0	0
655	3.3	13.2	6.6	0	0	0
656	11.1	44.4	22.2	0	0	0
657	1.9	7.6	3.8	0	0	0
658	1.8	7.2	3.6	0	0	0
659	1.3	5.2	2.6	0	0	0
660	4.6	18.4	9.2	0	0	0
661	6	24	12	0	0	0
662	17.5	70	35	0	0	0
663	2.4	9.6	4.8	0	0	0
664	1.4	5.6	2.8	0	0	0
665	7.3	29.2	14.6	0	0	0
666	4	16	8	0	0	0
667	0.2	0.8	0.4	0	0	0
668	0.5	2	1	0	0	0
669	1.2	4.8	2.4	0	0	0
670	2.1	8.4	4.2	0	0	0
671	2.7	10.8	5.4	0	0	0
672	0.5	2	1	0	0	0
673	0.5	2	1	0	0	0
674	4.5	18	9	0	0	0
675	2.9	11.6	5.8	0	0	0
676	7.8	31.2	15.6	0	0	0
677	6.5	26	13	0	0	0
678	3.3	13.2	6.6	0	0	0
679	7.2	28.8	14.4	0	0	0
680	6.7	26.8	13.4	0	0	0
681	13	52	26	0	0	0
682	7.9	31.6	15.8	0	0	0
683	15.6	62.4	31.2	0	0	0
684	10.2	40.8	20.4	0	0	0
685	16.4	65.6	32.8	0	0	0
686	13	52	26	0	0	0
687	11.8	47.2	23.6	0	0	0
688	19.1	76.3999999999999	38.2	0	0	0
689	16.8	67.1999999999999	33.6	0	0	0
690	20	79.9999999999999	40	0	0	0
691	0.2	0.8	0.4	0	0	0
692	2	8	4	0	0	0
693	14.4	57.6	28.8	0	0	0
694	41.3	165.2	82.6	0	0	0
695	25.7	102.8	51.4	0	0	0
696	10	40	20	0	0	0
697	2.6	10.4	5.2	0	0	0
698	8.1	32.4	16.2	0	0	0
699	0.9	3.6	1.8	0	0	0
700	3	12	6	0	0	0
701	16.2	64.8	32.4	0	0	0
702	5.7	22.8	11.4	0	0	0
703	7.8	31.2	15.6	0	0	0
704	9.5	38	19	0	0	0
705	1.4	5.6	2.8	0	0	0
706	3.4	13.6	6.8	0	0	0
707	0.4	1.6	0.8	0	0	0
708	1.6	6.4	3.2	0	0	0
709	0.5	2	1	0	0	0
710	0.2	0.8	0.4	0	0	0
711	1.2	4.8	2.4	0	0	0
712	7.1	28.4	14.2	0	0	0
713	7.5	30	15	0	0	0
714	1	4	2	0	0	0
715	3.6	14.4	7.2	0	0	0
716	25.7	102.8	51.3999999999999	0	0	0
717	8.6	34.4	17.2	0	0	0
718	10.1	40.4	20.2	0	0	0
719	3	12	6	0	0	0
720	0.5	2	1	0	0	0
721	9.7	38.8	19.4	0	0	0
722	5	20	10	0	0	0
723	19.2	76.8	38.4	0	0	0
724	0.5	2	1	0	0	0
725	2.9	11.6	5.8	0	0	0
726	5.9	23.6	11.8	0	0	0
727	2.1	8.4	4.2	0	0	0
728	1.2	4.8	2.4	0	0	0
729	1.9	7.6	3.8	0	0	0
730	3.5	14	7	0	0	0
731	1.4	5.6	2.8	0	0	0
