node	agg	layer1	layer2	layer3	layer4
17855	227	0	0	227	0
7713	226	0	207	35	0
7811	226	0	231	24	0
7915	226	0	177	70	0
9123	226	0	124	130	0
9298	226	0	159	103	0
10137	226	0	143	111	0
11673	226	0	0	226	0
17000	226	0	27	199	0
17001	226	0	36	190	0
17762	226	0	37	189	0
7273	225	0	144	101	0
7394	225	0	218	16	0
7602	225	0	138	103	0
7733	225	0	193	36	0
8639	225	0	136	118	0
9908	225	0	112	128	0
10164	225	0	95	153	0
16999	225	0	26	201	0
18300	225	0	0	225	0
6340	224	0	153	93	0
7438	224	0	160	88	0
7529	224	0	232	8	0
7605	224	0	193	51	0
7629	224	0	121	108	0
7631	224	0	131	102	0
7635	224	0	170	62	0
7654	224	0	188	60	0
7661	224	0	140	107	0
7679	224	0	207	34	0
7799	224	0	163	88	0
7893	224	0	163	85	0
8976	224	0	112	126	0
9469	224	0	106	138	0
11773	224	0	44	182	0
14577	224	0	46	182	0
16995	224	0	22	203	0
6298	223	0	255	7	0
6491	223	0	227	25	0
6884	223	0	184	65	0
7295	223	0	165	78	0
7687	223	0	184	48	0
8772	223	0	79	151	0
9461	223	0	99	144	0
12876	223	0	29	194	0
14687	223	0	16	207	0
15456	223	0	30	194	0
17557	223	0	26	197	0
6451	222	0	115	133	0
6508	222	0	112	133	0
6726	222	0	170	79	0
7562	222	0	227	6	0
9796	222	0	103	128	0
10021	222	0	86	142	0
10427	222	0	58	177	0
10643	222	0	93	147	0
11356	222	0	111	116	0
13007	222	0	36	187	0
14606	222	0	26	198	0
16970	222	0	16	206	0
6476	221	0	162	79	0
6506	221	0	236	19	0
6815	221	0	148	95	0
6816	221	0	194	52	0
6908	221	0	152	91	0
7512	221	0	229	3	0
7569	221	0	110	133	0
7682	221	0	250	8	0
7691	221	0	234	13	0
7744	221	0	250	9	0
7920	221	0	138	98	0
8115	221	0	204	54	0
12554	221	0	29	193	0
12767	221	0	24	197	0
12878	221	0	26	197	0
7554	220	0	246	12	0
7702	220	0	179	63	0
10705	220	0	139	88	0
10858	220	0	121	122	0
12122	220	0	20	201	0
12877	220	0	28	193	0
16422	220	0	29	192	0
7489	219	0	174	62	0
7516	219	0	174	66	0
7889	219	0	232	10	0
10774	219	0	52	174	0
13263	219	0	35	184	0
16478	219	0	34	185	0
18172	219	0	34	186	0
6158	218	0	90	142	0
6430	218	0	219	26	0
7500	218	0	224	1	0
7504	218	0	236	6	0
7620	218	0	244	0	0
7630	218	0	156	102	0
7900	218	0	235	6	0
8722	218	0	136	104	0
8789	218	0	160	93	0
8804	218	0	143	98	0
