node	mux	agg	layer1	layer2	layer3	layer4
1838	15.5	62	31	0	0	0
1884	15.5	62	31	0	0	0
2012	15.5	62	31	0	0	0
2266	15.5	62	31	0	0	0
2807	15.5	62	31	0	0	0
5477	15.5	62	31	0	0	0
19420	15.469774	2	1	0	0	0
19405	15.4320750163785	2	1	0	0	0
37507	15.4272162	2	1	0	0	0
37936	15.41957435	4	2	0	0	0
19467	15.4022685	2	1	0	0	0
19354	15.3965195	4	2	0	0	0
19691	15.3904056	4	2	0	0	0
38172	15.3851335212952	2	1	0	0	0
19542	15.3306416	10	5	0	0	0
19684	15.3157174	2	1	0	0	0
19503	15.26230035	6	3	0	0	0
19505	15.2411507	2	1	0	0	0
33607	15.23422265	4	2	0	0	0
19667	15.1298592872799	2	1	0	0	0
19720	15.1269494634976	2	1	0	0	0
19923	15.1131354	4	2	0	0	0
19371	15.08727295	2	1	0	0	0
19583	15.08602865	4	2	0	0	0
37174	15.0799385	2	1	0	0	0
19582	15.04538555	2	1	0	0	0
37767	15.03866765	6	3	0	0	0
19518	15.02293795	16	8	0	0	0
37482	15.0103763447331	2	1	0	0	0
941	15	60	30	0	0	0
942	15	60	30	0	0	0
1257	15	60	30	0	0	0
1563	15	60	30	0	0	0
1893	15	60	30	0	0	0
2053	15	60	30	0	0	0
2509	15	60	30	0	0	0
2743	15	60	30	0	0	0
3014	15	60	30	0	0	0
3883	15	60	30	0	0	0
4477	15	60	30	0	0	0
4621	15	60	30	0	0	0
5161	15	60	30	0	0	0
5264	15	60	30	0	0	0
37776	14.9702199404171	2	1	0	0	0
37633	14.9419484	2	1	0	0	0
20015	14.9353907611361	4	2	0	0	0
37754	14.9297103264435	2	1	0	0	0
19570	14.81593915	6	3	0	0	0
19652	14.79451865	4	2	0	0	0
20009	14.77715885	10	5	0	0	0
19481	14.7660850020458	2	1	0	0	0
37383	14.760911142721	2	1	0	0	0
33612	14.7577909824942	2	1	0	0	0
33504	14.732256	2	1	0	0	0
37602	14.7220265	6	3	0	0	0
19664	14.71826315	2	1	0	0	0
19488	14.708654	2	1	0	0	0
20150	14.70134125	2	1	0	0	0
19867	14.6957307286864	2	1	0	0	0
19417	14.68904455	4	2	0	0	0
19898	14.6869094	2	1	0	0	0
20087	14.67290165	4	2	0	0	0
19746	14.6727997834428	4	2	0	0	0
19530	14.6727191	6	3	0	0	0
19661	14.63179245	2	1	0	0	0
34462	14.6276429737237	2	1	0	0	0
19586	14.62699865	6	3	0	0	0
37352	14.6136510068548	4	2	0	0	0
34646	14.5994565	2	1	0	0	0
37656	14.59813095	4	2	0	0	0
37456	14.579839150663	2	1	0	0	0
34874	14.5793673	2	1	0	0	0
19507	14.5610716290323	2	1	0	0	0
19388	14.5557835254426	2	1	0	0	0
37554	14.535067577795	2	1	0	0	0
19446	14.5286807	2	1	0	0	0
206	14.5	58	29	0	0	0
287	14.5	58	29	0	0	0
328	14.5	58	29	0	0	0
345	14.5	58	29	0	0	0
795	14.5	58	29	0	0	0
1519	14.5	58	29	0	0	0
1541	14.5	58	29	0	0	0
1590	14.5	58	29	0	0	0
1799	14.5	58	29	0	0	0
2445	14.5	58	29	0	0	0
2517	14.5	58	29	0	0	0
3055	14.5	58	29	0	0	0
3261	14.5	58	29	0	0	0
3657	14.5	58	29	0	0	0
3981	14.5	58	29	0	0	0
5179	14.5	58	29	0	0	0
5476	14.5	58	29	0	0	0
20852	14.496451624287	2	1	0	0	0
19590	14.49235255	6	3	0	0	0
19535	14.48952415	2	1	0	0	0
37707	14.4788200231139	2	1	0	0	0
19450	14.4736149682199	2	1	0	0	0
20640	14.4062017	4	2	0	0	0
37171	14.395604812791	4	2	0	0	0
20795	14.38806095	2	1	0	0	0
19840	14.37695185	2	1	0	0	0
19685	14.3397747	2	1	0	0	0
19937	14.29528885	4	2	0	0	0
19648	14.28876325	4	2	0	0	0
19501	14.25970385	2	1	0	0	0
37405	14.2485556175251	2	1	0	0	0
19536	14.2476062643617	12	6	0	0	0
37328	14.241001213257	2	1	0	0	0
20548	14.24098175	6	3	0	0	0
37358	14.2177684093994	2	1	0	0	0
37447	14.2109380957913	2	1	0	0	0
20484	14.20799275	2	1	0	0	0
19996	14.1727934	4	2	0	0	0
37480	14.151158154732	2	1	0	0	0
37628	14.1235834453466	4	2	0	0	0
37215	14.1213500745056	2	1	0	0	0
33384	14.1083718553159	2	1	0	0	0
19841	14.0561515	2	1	0	0	0
19677	14.0480162959841	2	1	0	0	0
37801	14.04259115	2	1	0	0	0
37965	14.0288738	2	1	0	0	0
19526	14.0263743	20	10	0	0	0
19818	14.02275315	6	3	0	0	0
323	14	56	28	0	0	0
476	14	56	28	0	0	0
1508	14	56	28	0	0	0
1668	14	56	28	0	0	0
2051	14	56	28	0	0	0
2237	14	56	28	0	0	0
2566	14	56	28	0	0	0
2741	14	56	28	0	0	0
2952	14	56	28	0	0	0
3236	14	56	28	0	0	0
4337	14	56	28	0	0	0
4944	14	56	28	0	0	0
19579	13.995493	4	2	0	0	0
20242	13.991412	2	1	0	0	0
19475	13.9757234815634	2	1	0	0	0
64598	13.9753695247458	0	0	0	0	0
19699	13.96336865	2	1	0	0	0
20154	13.9365472517779	2	1	0	0	0
20252	13.92757095	2	1	0	0	0
20433	13.9239445	4	2	0	0	0
19851	13.91520345	2	1	0	0	0
19985	13.9060978	10	5	0	0	0
33837	13.8874938	2	1	0	0	0
37236	13.88070845	4	2	0	0	0
19421	13.8774520104244	2	1	0	0	0
19378	13.8603195231962	6	3	0	0	0
19548	13.85699375	4	2	0	0	0
19538	13.84663275	2	1	0	0	0
34560	13.845912878071	4	2	0	0	0
37315	13.8406941545661	4	2	0	0	0
19639	13.83251595	2	1	0	0	0
19595	13.8235545	4	2	0	0	0
19627	13.811172916097	4	2	0	0	0
20303	13.79024255	10	5	0	0	0
19812	13.766971	2	1	0	0	0
19949	13.7667936	12	6	0	0	0
20076	13.7642971	2	1	0	0	0
19547	13.751399822226	6	3	0	0	0
19576	13.74234785	2	1	0	0	0
19620	13.735327109569	2	1	0	0	0
19764	13.7254728	2	1	0	0	0
37881	13.72221575	4	2	0	0	0
37390	13.6804252149701	2	1	0	0	0
34779	13.6612194341457	2	1	0	0	0
20656	13.6110019	2	1	0	0	0
19794	13.6090992	2	1	0	0	0
19483	13.5825845495354	4	2	0	0	0
20320	13.5563004928438	2	1	0	0	0
20103	13.54937585	2	1	0	0	0
19775	13.5060486841918	2	1	0	0	0
172	13.5	54	27	0	0	0
286	13.5	54	27	0	0	0
324	13.5	54	27	0	0	0
327	13.5	54	27	0	0	0
449	13.5	54	27	0	0	0
943	13.5	54	27	0	0	0
1223	13.5	54	27	0	0	0
1920	13.5	54	27	0	0	0
2236	13.5	54	27	0	0	0
2290	13.5	54	27	0	0	0
2469	13.5	54	27	0	0	0
2471	13.5	54	27	0	0	0
2736	13.5	54	27	0	0	0
3238	13.5	54	27	0	0	0
3762	13.5	54	27	0	0	0
4010	13.5	54	27	0	0	0
4166	13.5	54	27	0	0	0
4341	13.5	54	27	0	0	0
4439	13.5	54	27	0	0	0
4987	13.5	54	27	0	0	0
5293	13.5	54	27	0	0	0
5392	13.5	54	27	0	0	0
5393	13.5	54	27	0	0	0
5472	13.5	54	27	0	0	0
19521	13.49643	10	5	0	0	0
19414	13.4759942302156	2	1	0	0	0
