"name"	"Double_NR"	"Double_R"	"distance"
"245"	"6'-beta-hydroxy-methyl-simvastatin-lactone"	0.126613949827913	0.102904134992488	-0.0284
"246"	"6'-exomethylene-lovastatin"	0.328574472229625	0.308516317203065	-0.0251
"247"	"6'-exomethylene-lovastatin-acid"	0.328595143341018	0.308621012620786	-0.025
"248"	"6'-exomethylene-simvastatin-lactone"	0	0	-0.0121
"249"	"6-oxo-prostaglandin"	0.476683948383828	0.463223154707449	-0.0198
"250"	"7,10,13-Hexadecatrienoyl"	0	0	-0.0121
"251"	"7,10-Hexadecadienoyl"	0	0	-0.0121
"252"	"7,8-epoxy-(4Z,10Z)-hexadecadienoic"	0	0	-0.0121
"253"	"7-Dehydrochenodeoxycholic"	0.30008336421528	0.299613866362069	-0.0113
"254"	"7-Dehydrocholic"	0.30008336421528	0.299613866362069	-0.0113
"255"	"7-Tetradecenoyl"	0	0	-0.0121
"256"	"7-palmitoleic"	0.338418450441335	0.324948967201226	-0.0204
"257"	"7Z,10Z-Hexadecadienoic"	0.316052890501417	0.301697880051322	-0.0211
"258"	"7alpha-hydroxy-3-oxo-4-cholestenoic"	0.156207363940312	0.133132173686359	-0.0279
"259"	"8,11-eicosadienoic"	0.344974634868038	0.329786877458022	-0.0216
"260"	"8,9-epoxy-(5Z)-tetradecenoic"	0	0	-0.0121
"261"	"9,10-epoxy-(6Z,12Z)-octadecadienoic"	0	0	-0.0121
"262"	"9-Octadecenoyl"	0	0	-0.0121
"263"	"9-eicosenoic"	0.299454489071396	0.28089161554711	-0.0241
"264"	"9-heptadecylenic"	0.339385103275871	0.323060836465581	-0.0224
"265"	"A1BG"	0.418140352483543	0.363256141966915	-0.0494
"266"	"A1CF"	0.565424485268418	0.503263212474076	-0.054
"267"	"A2M"	0.53733202951946	0.56378804176241	0.0087
"268"	"A2ML1"	0.485114606071295	0.432384809800945	-0.0476
"269"	"A2ML1-AS1"	0.275801433127812	0.258316163370004	-0.0234
"270"	"A2ML1-AS2"	0.294746194358171	0.271531300670708	-0.0274
"271"	"A3GALT2"	0.25789552705496	0.238760107900321	-0.0247
"272"	"A4GALT"	0.597075402663009	0.626769746891942	0.0112
"273"	"A4GNT"	0.601896324666286	0.590897996769328	-0.0176
"274"	"AAA1"	0.403714258314624	0.500291001521302	0.0579
"275"	"AAAS"	0.653417470431032	0.638606741063972	-0.0201
"276"	"AACS"	0.646749365237063	0.682434537680077	0.0156
"277"	"AADAC"	0.62603734757983	0.61179698552712	-0.0198
"278"	"AADACL2"	0.429292848524141	0.409981431614687	-0.0242
"279"	"AADACL3"	0.456236619936332	0.535374850321004	0.0457
"280"	"AADACL4"	0.377462744054965	0.450819314307749	0.0413
"281"	"AADAT"	0.620412473022626	0.586670543972402	-0.0337
"282"	"AAG1"	0.564855759485148	0.552306357416301	-0.0189
"283"	"AAGAB"	0.45089792576037	0.469148365836884	0.0025
"284"	"AAK1"	0.744266791020137	0.732532334631415	-0.0176
"285"	"AAMDC"	0.265689478557997	0.255042923709663	-0.0186
"286"	"AAMP"	0.45023391187223	0.428706110831835	-0.0257
"287"	"AANAT"	0.658745650756463	0.627978803007278	-0.0314
"288"	"AAR2"	0.330972415108579	0.311978999884308	-0.0243
"289"	"AARS"	0.498314931654797	0.485784240613831	-0.0191
"290"	"AARS1"	0.445463851822294	0.439361836017326	-0.0147
"291"	"AARS2"	0.559296963592842	0.456189350367762	-0.0831
"292"	"AARSD1"	0.603606147914146	0.606223715122382	-0.008
"293"	"AASDH"	0.651242661751366	0.653335325660265	-0.0082
"294"	"AASDHPPT"	0.56820352767354	0.587102043336135	0.0034
"295"	"AASS"	0.657372370340744	0.654997710241373	-0.0113
"296"	"AATF"	0.605747956933801	0.596118617020359	-0.0166
"297"	"AATK"	0.559519425041288	0.511750876894002	-0.0439
"298"	"AB019440.1"	0.28424510872451	0.263252383787574	-0.0259
"299"	"AB019440.50"	0.28424510872451	0.263252383787574	-0.0259
"300"	"ABAT"	0.59619981664567	0.529045986107154	-0.0575
"301"	"ABCA1"	0.866705710524968	0.862645535366045	-0.0117
"302"	"ABCA10"	0.506253990812906	0.448748386978541	-0.051
"303"	"ABCA11P"	0.520481572660201	0.395129410843721	-0.099
"304"	"ABCA12"	0.441341331129121	0.387024759502512	-0.0489
"305"	"ABCA13"	0.497983145295257	0.43631640818291	-0.0539
"306"	"ABCA17P"	0.455153029563324	0.467681603618521	-0.0015
"307"	"ABCA2"	0.701345121956246	0.699004014066312	-0.0111
"308"	"ABCA3"	0.601171160972281	0.644198841352257	0.0207
"309"	"ABCA4"	0.581448130416168	0.579433939420829	-0.0113
"310"	"ABCA5"	0.531829657377495	0.451130872946366	-0.0673
