nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_size GRN_nes GRN_pval GRN_pval.fdr fPPI_IDH2_vs_IDH1_diff fPPI_IDH2_vs_IDH1_p.val Metabolism_pvalue Metabolism_mean.diff
335 frag_110725 0 1 0 0 1 NA NA NA NA NA
336 frag_110728 0 1 0 0 1 NA NA NA NA NA
337 frag_110730 0 1 0 0 1 NA NA NA NA NA
338 frag_110740 0 1 0 0 1 NA NA NA NA NA
339 frag_110741 0 1 0 0 1 NA NA NA NA NA
340 frag_110747 0 1 0 0 1 NA NA NA NA NA
341 frag_110750 0 1 0 0 1 NA NA NA NA NA
342 frag_110756 0 1 0 0 1 NA NA NA NA NA
343 frag_110761 0 1 0 0 1 NA NA NA NA NA
344 frag_110762 0 1 0 0 1 NA NA NA NA NA
345 frag_110763 0 1 0 0 1 NA NA NA NA NA
346 frag_110764 0 1 0 0 1 NA NA NA NA NA
347 frag_110765 0 1 0 0 1 NA NA NA NA NA
348 frag_110767 0 1 0 0 1 NA NA NA NA NA
349 frag_110768 0 1 0 0 1 NA NA NA NA NA
350 frag_110769 0 1 0 0 1 NA NA NA NA NA
351 frag_110770 0 1 0 0 1 NA NA NA NA NA
352 frag_110771 0 1 0 0 1 NA NA NA NA NA
353 frag_110772 0.126570588644812 0.0298184620490761 0 0 1 NA NA NA NA NA
354 frag_110773 0 1 0 0 1 NA NA NA NA NA
355 frag_110774 0 1 0 0 1 NA NA NA NA NA
356 frag_110978 0 1 0 0 1 NA NA NA NA NA
357 frag_110979 0 1 0 0 1 NA NA NA NA NA
358 frag_110980 0 1 0 0 1 NA NA NA NA NA
359 frag_110981 0 1 0 0 1 NA NA NA NA NA
360 frag_110982 0 1 0 0 1 NA NA NA NA NA
361 frag_110983 0 1 0 0 1 NA NA NA NA NA
362 frag_111573 0 1 0 0 1 NA NA NA NA NA
363 frag_111603 0 1 0 0 1 NA NA NA NA NA
364 frag_111608 0 1 0 0 1 NA NA NA NA NA
365 frag_111613 0 1 0 0 1 NA NA NA NA NA
366 frag_111616 0 1 0 0 1 NA NA NA NA NA
367 frag_111617 0 1 0 0 1 NA NA NA NA NA
368 frag_111618 0 1 0 0 1 NA NA NA NA NA
369 frag_111620 0 1 0 0 1 NA NA NA NA NA
370 frag_111621 0 1 0 0 1 NA NA NA NA NA
371 frag_111631 0 1 0 0 1 NA NA NA NA NA
372 frag_111641 0 1 0 0 1 NA NA NA NA NA
373 frag_111651 0 1 0 0 1 NA NA NA NA NA
374 frag_111660 0 1 0 0 1 NA NA NA NA NA
375 frag_111663 0 1 0 0 1 NA NA NA NA NA
376 frag_111668 0 1 0 0 1 NA NA NA NA NA
377 frag_111669 0 1 0 0 1 NA NA NA NA NA
378 frag_111671 0 1 0 0 1 NA NA NA NA NA
379 frag_111907 0.119831553666124 0.00832628434149071 0 0 1 NA NA NA NA NA
380 frag_111936 0 1 0 0 1 NA NA NA NA NA
381 frag_111937 0 1 0 0 1 NA NA NA NA NA
382 frag_111938 0 1 0 0 1 NA NA NA NA NA
383 frag_111939 0 1 0 0 1 NA NA NA NA NA
384 frag_111940 0 1 0 0 1 NA NA NA NA NA
385 frag_111941 0 1 0 0 1 NA NA NA NA NA
386 frag_111942 0 1 0 0 1 NA NA NA NA NA
387 frag_111945 0 1 0 0 1 NA NA NA NA NA
388 frag_111994 0.112739933728418 0.0180918707260272 0 0 1 NA NA NA NA NA
389 frag_112113 0 1 0 0 1 NA NA NA NA NA
390 frag_112529 0.11892349246567 0.0214864757003741 0 0 1 NA NA NA NA NA
391 frag_112583 0 1 0 0 1 NA NA NA NA NA
392 frag_112627 0 1 0 0 1 NA NA NA NA NA
393 frag_112628 0 1 0 0 1 NA NA NA NA NA
394 frag_112632 0 1 0 0 1 NA NA NA NA NA
395 frag_112634 0 1 0 0 1 NA NA NA NA NA
396 frag_112635 0 1 0 0 1 NA NA NA NA NA
397 frag_112636 0 1 0 0 1 NA NA NA NA NA
398 frag_112641 0 1 0 0 1 NA NA NA NA NA
399 frag_112642 0 1 0 0 1 NA NA NA NA NA
400 frag_112643 0 1 0 0 1 NA NA NA NA NA
401 frag_112645 0 1 0 0 1 NA NA NA NA NA
402 frag_112646 0 1 0 0 1 NA NA NA NA NA
403 frag_112650 0 1 0 0 1 NA NA NA NA NA
404 frag_112656 0 1 0 0 1 NA NA NA NA NA
405 frag_112721 0 1 0 0 1 NA NA NA NA NA
406 frag_112726 0 1 0 0 1 NA NA NA NA NA
407 frag_112727 0 1 0 0 1 NA NA NA NA NA
408 frag_112739 0 1 0 0 1 NA NA NA NA NA
409 frag_112741 0 1 0 0 1 NA NA NA NA NA
410 frag_112742 0 1 0 0 1 NA NA NA NA NA
411 frag_112743 0 1 0 0 1 NA NA NA NA NA
412 frag_112744 0 1 0 0 1 NA NA NA NA NA
413 frag_112745 0 1 0 0 1 NA NA NA NA NA
414 frag_112750 0 1 0 0 1 NA NA NA NA NA
415 frag_112751 0 1 0 0 1 NA NA NA NA NA
416 frag_112752 0 1 0 0 1 NA NA NA NA NA
417 frag_112753 0 1 0 0 1 NA NA NA NA NA
418 frag_112754 0 1 0 0 1 NA NA NA NA NA
419 frag_112755 0 1 0 0 1 NA NA NA NA NA
420 frag_112758 0 1 0 0 1 NA NA NA NA NA
421 frag_112759 0 1 0 0 1 NA NA NA NA NA
422 frag_112761 0 1 0 0 1 NA NA NA NA NA
423 frag_112762 0 1 0 0 1 NA NA NA NA NA
424 frag_112763 0 1 0 0 1 NA NA NA NA NA
425 frag_112764 0 1 0 0 1 NA NA NA NA NA
426 frag_112767 0 1 0 0 1 NA NA NA NA NA
427 frag_112768 0 1 0 0 1 NA NA NA NA NA
428 frag_112769 0 1 0 0 1 NA NA NA NA NA
