""	"x"
"959"	"CHRNE"
"960"	"RN7SL784P"
"961"	"GP1BA"
"962"	"RNF167"
"963"	"SLC25A11"
"964"	"ENO3"
"965"	"PFN1"
"966"	"CAMTA2"
"967"	"RP5-1050D4.2"
"968"	"RP5-1050D4.3"
"969"	"SPAG7"
"970"	"AC004771.1"
"971"	"RP5-1050D4.4"
"972"	"RP5-1050D4.5"
"973"	"INCA1"
"974"	"KIF1C"
"975"	"AC109333.10"
"976"	"SLC52A1"
"977"	"BCL6B"
"978"	"SLC16A13"
"979"	"SLC16A11"
"980"	"ACADVL"
"981"	"MIR324"
"982"	"CTD-2545G14.7"
"983"	"CTDNEP1"
"984"	"DVL2"
"985"	"GABARAP"
"986"	"PHF23"
"987"	"ELP5"
"988"	"CLDN7"
"989"	"RP1-4G17.5"
"990"	"RP1-4G17.2"
"991"	"SLC2A4"
"992"	"YBX2"
"993"	"GPS2"
"994"	"NEURL4"
"995"	"RP11-542C16.2"
"996"	"ACAP1"
"997"	"KCTD11"
"998"	"FGF11"
"999"	"RP11-104H15.10"
"1000"	"RP11-104H15.8"
"1001"	"RP11-104H15.9"
"1002"	"TMEM102"
"1003"	"CHRNB1"
"1004"	"POLR2A"
"1005"	"SLC35G6"
"1006"	"ZBTB4"
"1007"	"TNFSF12"
"1008"	"TNFSF12-TNFSF13"
"1009"	"SENP3"
"1010"	"TNFSF13"
"1011"	"EIF4A1"
"1012"	"SNORA67"
"1013"	"AC113189.5"
"1014"	"CD68"
"1015"	"MPDU1"
"1016"	"SNORA48"
"1017"	"SNORD10"
"1018"	"SOX15"
"1019"	"AC007421.1"
"1020"	"FXR2"
"1021"	"SHBG"
"1022"	"RP11-199F11.2"
"1023"	"WRAP53"
"1024"	"TP53"
"1025"	"DNAH2"
"1026"	"CYB5D1"
"1027"	"LSMD1"
"1028"	"TMEM88"
"1029"	"CHD3"
"1030"	"SCARNA21"
"1031"	"CNTROB"
"1032"	"KCNAB3"
"1033"	"RP11-1099M24.7"
"1034"	"TRAPPC1"
"1035"	"ALOXE3"
"1036"	"ARHGEF15"
"1037"	"KRBA2"
"1038"	"RP11-849F2.5"
"1039"	"RP11-849F2.7"
"1040"	"RPL26"
"1041"	"RNF222"
"1042"	"NDEL1"
"1043"	"MYH10"
"1044"	"AC000003.1"
"1045"	"GAS7"
"1046"	"ADORA2B"
"1047"	"TTC19"
"1048"	"ZSWIM7"
"1049"	"DHRS7B"
"1050"	"MAP2K3"
"1051"	"MYO18A"
"1052"	"TIAF1"
"1053"	"MIR3184"
"1054"	"MIR423"
"1055"	"NSRP1"
"1056"	"RP11-1148O4.2"
"1057"	"CCT6B"
"1058"	"ZNF830"
"1059"	"LIG3"
"1060"	"RNU6-840P"
"1061"	"NLE1"
"1062"	"C17orf96"
"1063"	"CISD3"
"1064"	"RNA5SP440"
"1065"	"CTB-58E17.5"
"1066"	"PCGF2"
"1067"	"PSMB3"
"1068"	"RNU6-866P"
"1069"	"C17orf98"
"1070"	"FBXO47"
"1071"	"LRRC37A11P"
"1072"	"AC087491.2"
"1073"	"PPP1R1B"
"1074"	"MIEN1"
"1075"	"GRB7"
"1076"	"IKZF3"
"1077"	"ZPBP2"
"1078"	"CSF3"
"1079"	"MED24"
"1080"	"RP11-387H17.6"
"1081"	"SNORD124"
"1082"	"THRA"
"1083"	"MSL1"
"1084"	"AC068669.1"
"1085"	"CASC3"
"1086"	"RAPGEFL1"
