"name"	"mIDH2_NR"	"mIDH2_R"	"distance"
"248"	"6'-exomethylene-simvastatin-lactone"	0	0	0.0224895280476119
"249"	"6-oxo-prostaglandin"	0.680029498635096	0.685725153379589	0.00131600540932655
"250"	"7,10,13-Hexadecatrienoyl"	0	0	0.0224895280476119
"251"	"7,10-Hexadecadienoyl"	0	0	0.0224895280476119
"252"	"7,8-epoxy-(4Z,10Z)-hexadecadienoic"	0	0	0.0224895280476119
"253"	"7-Dehydrochenodeoxycholic"	0.574436819614185	0.590880347336849	-0.00702851662639656
"254"	"7-Dehydrocholic"	0.574436819614185	0.590880347336849	-0.00702851662639656
"255"	"7-Tetradecenoyl"	0	0	0.0224895280476119
"256"	"7-palmitoleic"	0.59584775498105	0.605552311951456	-0.000776871247164832
"257"	"7Z,10Z-Hexadecadienoic"	0.583604092587347	0.596911719974214	-0.00410126876863101
"258"	"7alpha-hydroxy-3-oxo-4-cholestenoic"	0.484768967417023	0.49594920098664	0.000275670125300356
"259"	"8,11-eicosadienoic"	0.599606111343318	0.608537234630268	-8.8979945898713e-05
"260"	"8,9-epoxy-(5Z)-tetradecenoic"	0	0	0.0224895280476119
"261"	"9,10-epoxy-(6Z,12Z)-octadecadienoic"	0	0	0.0224895280476119
"262"	"9-Octadecenoyl"	0	0	0.0224895280476119
"263"	"9-eicosenoic"	0.572187021621812	0.581323904790234	0.000329334641941317
"264"	"9-heptadecylenic"	0.596147264346616	0.605192344726358	-0.000124211664295413
"265"	"A1BG"	0.620923092530698	0.609625440714848	0.0196546082357829
"266"	"A1CF"	0.657437779004721	0.708460569434063	-0.0434969295641794
"267"	"A2M"	0.691809014594003	0.697493215129136	0.00105935096717815
"268"	"A2ML1"	0.674436755099881	0.691577546804723	-0.0100018374471998
"269"	"A2ML1-AS1"	0.549530515649512	0.559426855771963	8.55529741734772e-05
"270"	"A2ML1-AS2"	0.561899711959522	0.573671066029443	-0.00207099109342032
