""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"TSPAN7"	-0.971266402857144	6.1454221291866	-3.55401108400671	0.000422997938443152	0.0157302262718445	-0.208912833679211	"TSPAN7"
"CD9"	0.969594486119045	7.63526387321531	3.54548004991204	0.000436509056260541	0.0160279765724276	-0.23709794941741	"CD9"
"CRNDE"	1.11797830285715	7.26513676555024	3.54325184792376	0.000440104011044062	0.016133267366835	-0.244449085604399	"CRNDE"
"S100A10"	1.00153163142857	10.0594307942584	3.54028487212915	0.000444933961700866	0.0162508145123286	-0.254230800660537	"S100A10"
"LOC100505501"	-0.891589194285716	7.34017708133971	-3.51311959654728	0.000491523657669299	0.0172484362021989	-0.343433168699836	"LOC100505501"
"FCGRT"	-0.883198677142858	7.83917206698565	-3.50741196757284	0.000501876038987007	0.017446092151495	-0.362093181747577	"FCGRT"
"CECR1"	-1.03107703333334	9.31009655502392	-3.49345908342744	0.000528048821589986	0.0181848862814017	-0.407589397635359	"CECR1"
"ZNF503"	0.969218699047619	6.95130929665072	3.48445004290808	0.00054562037882494	0.0186089854673787	-0.436874594326135	"ZNF503"
"TGFBI"	-1.14873491238095	6.37358156698565	-3.43827007170494	0.000644598745621079	0.0206964916467829	-0.585871606000739	"TGFBI"
"GUCY1A3"	-0.934412699047619	8.31635542105263	-3.39356776026354	0.000756162205976399	0.0230994013831193	-0.728316285309499	"GUCY1A3"
"TRBV27"	-1.17320501619048	8.16572595454545	-3.39009951922701	0.000765530436711262	0.0232574438703868	-0.739294382391376	"TRBV27"
"SOCS2"	-1.13548514761904	7.91784355980861	-3.37170284356063	0.000817056883503351	0.0241609167497831	-0.797348577957843	"SOCS2"
"ZBTB8A"	-0.87233413714286	7.66291238755981	-3.36200159061308	0.000845511900736625	0.0248367720987243	-0.827842578212017	"ZBTB8A"
"MAP3K13"	0.790285999047618	7.06196369856459	3.35933784889929	0.000853484886187739	0.0248704137032278	-0.836201007264868	"MAP3K13"
"AFF3"	-0.841809457952377	7.34332128850478	-3.35544851155455	0.000865252014972528	0.0249864051927874	-0.84839393254168	"AFF3"
"ITM2C"	-0.777759613333332	8.70510626794258	-3.3539321005919	0.000869880663494019	0.0250565688346535	-0.853144207169122	"ITM2C"
"CDCA7"	-0.777267562502857	9.00844752236124	-3.33422663700504	0.000932161860626004	0.026302144713694	-0.914688532453079	"CDCA7"
"SH2D1A"	-0.771726040952384	6.72452319138756	-3.32277658931393	0.000970230460690705	0.026973008225141	-0.950291923245423	"SH2D1A"
"INPP4B"	-0.758055654285714	6.05433595454545	-3.31920043217444	0.000982413286249713	0.0271819374577454	-0.961388074902491	"INPP4B"
"JUP"	-0.900510929523805	8.26457456937799	-3.31705745217633	0.000989781695991977	0.0272687931101989	-0.968031927260525	"JUP"
"SHANK3"	-0.993027191428573	6.70311521052632	-3.31410714670855	0.00100001004852028	0.0274143669420058	-0.977172077784589	"SHANK3"
"PRAME"	-0.969491414285715	5.73610186842105	-3.28588699308937	0.00110293003397041	0.029016349102486	-1.06421007293081	"PRAME"
"NPR3"	-1.08713717238096	7.87984231100478	-3.27923660517775	0.0011285751720337	0.0295777796445431	-1.08461890082584	"NPR3"
"TSPAN13"	-0.911868064761904	7.49913976794258	-3.27799039521331	0.00113344191548074	0.0296083330995665	-1.08843893436828	"TSPAN13"
"HSH2D"	0.795030881904763	8.75346562440191	3.27339639764694	0.00115155124220541	0.0298481043845491	-1.10250912849553	"HSH2D"
"PELI1"	0.817209738095242	8.32936895933014	3.27188260722542	0.00115757708121703	0.0299216136447917	-1.10714137090164	"PELI1"
"CD69"	-0.918823717882855	9.70333715888277	-3.2713902421879	0.0011595432988879	0.0299348413963501	-1.10864758455591	"CD69"
"LGALS3BP"	-1.04279297714286	8.21284733492823	-3.25866411979472	0.00121145145434072	0.0309534220672449	-1.14750403685379	"LGALS3BP"
"RAB31"	-0.915945060952381	8.42498921770335	-3.24621874888676	0.00126429057764472	0.0317547411449655	-1.18536440557433	"RAB31"
"FHL1"	-0.873797307619051	8.48764440191388	-3.23498579736395	0.0013138076885258	0.0325924238435406	-1.21941846769292	"FHL1"
"MTMR11"	-0.870174306666666	6.36001533732057	-3.23129526063698	0.0013304643614756	0.0327129031139755	-1.23058233978772	"MTMR11"
"VSIG4"	-0.896937286666662	6.42767768899522	-3.22978884769415	0.00133731935624991	0.0327522654055553	-1.23513576337608	"VSIG4"
"LTBP1"	0.762413227619048	7.22422478708134	3.21291730402793	0.00141636050154623	0.0340694611749374	-1.28599557993361	"LTBP1"
"IRF8"	-0.870844224761903	8.79351955502392	-3.20020071859618	0.00147876926506459	0.0350079301524394	-1.32416298631082	"IRF8"
"PLD4"	-0.77428227333333	7.38128471052632	-3.17534194127446	0.00160817353637026	0.0369596608182586	-1.39835849510663	"PLD4"
"RXFP1"	-0.806092420952386	5.79684928468899	-3.17343749151998	0.00161850665179662	0.0371202073666448	-1.40401999211499	"RXFP1"
"IKZF2"	-0.844928313333334	6.29067366985646	-3.16296938055162	0.00167640757675739	0.0380157129216007	-1.43508165223369	"IKZF2"
"HNRNPLL"	0.851126133333331	6.8800066076555	3.15195181256684	0.00173940874258549	0.0389269496398194	-1.46766827482393	"HNRNPLL"
"BCAT1"	-0.936879174054288	8.01320321522488	-3.14121372725537	0.00180290767252412	0.0398255840251394	-1.49932418061326	"BCAT1"
"PRG2"	-0.935021430476193	6.43511900956938	-3.12494697218291	0.00190318242684344	0.0413406267017961	-1.54708277211039	"PRG2"
"ITGA9"	-0.918088861904757	7.19784200956938	-3.08790592217457	0.00215098802082363	0.0448351619603633	-1.65495270200056	"ITGA9"
"MSLN"	-0.870396551428574	5.7559125215311	-3.08459187361045	0.00217454753799391	0.0451564749977798	-1.66454404523592	"MSLN"
"SGMS2"	0.80173602	6.96738389952153	3.04987315343581	0.00243603428415932	0.048804307456265	-1.76443462169284	"SGMS2"
"GATM"	-0.786131249523809	6.18969120813397	-3.03030414391147	0.00259585211006548	0.0510379504406315	-1.82026187791551	"GATM"
"LDLRAD3"	0.755975017142856	6.30385183971292	3.02768378514208	0.00261796786571667	0.0513085226137257	-1.82771129536739	"LDLRAD3"
