"name"	"Cluster_NR"	"NR"	"distance"
"516"	"2-hydroxy"	0	0.422561766277796	0.3093
"517"	"2-hydroxy-atorvastatin-acid"	0	0.388981984017874	0.2863
"518"	"2-hydroxy-atorvastatin-lactone"	0	0.379381085899538	0.2797
"519"	"2-lysolecithin"	0	0.28004491801065	0.2116
"520"	"2-methoxy-6-all"	0	0	0.0198
"521"	"2-methylglutaconic"	0	0	0.0198
"522"	"20"	0	0	0.0198
"523"	"20-OH-hepoxilin"	0	0	0.0198
"524"	"20.6508"	0	0	0.0198
"525"	"20.7045"	0	0	0.0198
"526"	"200"	0	0	0.0198
"527"	"207"	0	0	0.0198
"528"	"208"	0	0	0.0198
"529"	"2094"	0	0	0.0198
"530"	"2095"	0	0	0.0198
"531"	"20alpha,22beta"	0	0	0.0198
"532"	"21"	0	0	0.0198
"533"	"2165"	0	0	0.0198
"534"	"22"	0	0	0.0198
"535"	"220"	0	0	0.0198
"536"	"224"	0	0	0.0198
"537"	"23"	0	0	0.0198
"538"	"230"	0	0	0.0198
"539"	"233"	0	0	0.0198
"540"	"23S,25,26-trihydroxyvitamin"	0	0	0.0198
"541"	"23s,25-dihydroxyvitamin"	0	0	0.0198
"542"	"24"	0	0	0.0198
"543"	"24(R),25(R)-Varanoyl"	0	0.324086592080613	0.2418
"544"	"24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin"	0	0	0.0198
