"source"	"target"
278723	887645
278773	887657
278773	887661
278773	887665
278675	887666
278773	887671
278773	887676
278773	887683
278773	887686
278773	887699
278773	887701
278773	887702
278865	887763
278878	887764
278881	887828
278881	887835
340019	887875
428520	887876
143075	887879
264351	887986
264350	887987
264350	887989
279685	888004
279685	888011
279685	888012
279685	888013
279721	888014
280675	888076
282540	888261
283332	888387
418844	888410
256176	888411
643386	888412
283945	888559
284234	888659
266090	888673
773180	888685
266090	888697
266090	888702
266090	888707
266090	888710
284660	888796
284660	888819
287672	888829
287672	888833
287672	888835
287672	888837
284660	888878
288632	889066
284742	889099
284812	889100
289268	889287
289336	889288
293767	889370
293767	889380
294088	889452
294088	889456
294088	889458
294088	889459
294316	889652
294316	889654
294316	889655
294316	889659
294316	889661
294316	889662
294316	889663
294316	889674
310408	889779
295021	889783
295021	889784
295021	889785
295021	889787
295021	889788
295021	889789
295012	889790
295021	889791
295021	889793
295021	889794
295021	889796
295021	889797
285046	889851
333623	889983
296450	890076
296576	890085
296844	890189
296861	890204
296858	890237
296861	890238
296878	890239
296915	890240
297158	890408
297088	890417
297088	890433
297088	890437
297088	890438
297088	890440
297088	890453
297088	890454
297088	890455
297088	890456
297088	890460
297088	890464
297088	890465
297088	890469
297088	890477
297088	890481
297088	890485
297583	890681
297583	890682
297583	890683
297583	890686
297631	890734
285275	890831
297924	890879
285275	890956
285275	890969
285282	890991
285313	890993
285313	891001
285313	891006
285313	891009
497834	891042
298621	891085
298621	891092
298621	891109
298754	891125
298643	891142
298771	891143
298689	891144
298758	891145
298764	891146
298765	891147
298767	891148
298775	891149
298779	891150
340031	891152
298754	891185
298754	891248
298754	891254
285313	891285
285313	891294
298754	891314
298754	891316
298621	891327
285315	891540
301771	892129
138339	892296
285819	892571
285823	892572
285875	892637
285830	892663
285840	892664
285883	892723
285875	892732
285883	892734
285883	892741
285875	892746
285894	892749
285917	892750
285897	892882
285883	892900
285917	892905
285882	892906
285883	892907
285885	892908
285892	892909
285894	892910
285896	892911
285918	892912
285921	892913
285922	892914
305934	892933
305934	892936
305934	892942
305934	892946
305934	892951
305934	892958
305934	892961
285883	892980
305911	892990
285876	893000
285875	893063
285875	893073
285885	893074
160627	893157
160627	893189
