"Entrez" "group"
"573" "ZNF385D" "IDH2"
"574" "CAPN15" "IDH2"
"575" "MATK" "IDH2"
"576" "STAG3" "IDH2"
"577" "LRRFIP1" "IDH2"
"578" "ZNF781" "IDH2"
"579" "NACAD" "IDH2"
"580" "GCC1" "IDH2"
"581" "KCTD17" "IDH2"
"582" "TDP2" "IDH2"
"583" "SLC9A3" "IDH2"
"584" "GRIN2A" "IDH2"
"585" "MMEL1" "IDH2"
"586" "RTTN" "IDH2"
"587" "BRD1" "IDH2"
"588" "ASNSD1" "IDH2"
"589" "PPP3R1" "IDH2"
"590" "C17orf75" "IDH2"
"591" "MYOM3" "IDH2"
"592" "NKX2-6" "IDH2"
"593" "TPRX1" "IDH2"
"594" "C12orf40" "IDH2"
"595" "FBXO8" "IDH2"
"596" "RGS18" "IDH2"
"597" "RABAC1" "IDH2"
"598" "RNU6-546P" "IDH2"
"599" "ALG9" "IDH2"
"600" "IMMP2L" "IDH2"
"601" "NKG7" "IDH2"
"602" "DEXI" "IDH2"
"603" "ZNF575" "IDH2"
"604" "SNORD73A" "IDH2"
"605" "ENDOD1" "IDH2"
"606" "TBC1D10B" "IDH2"
"607" "N4BP2" "IDH2"
"608" "ACTL8" "IDH2"
"609" "TP53I13" "IDH2"
"610" "CCDC87" "IDH2"
"611" "RNASEK" "IDH2"
"612" "TSSC4" "IDH2"
"613" "MIEF2" "IDH2"
"614" "NEURL2" "IDH2"
"615" "ADCY1" "IDH2"
"616" "ZMYM6" "IDH2"
"617" "GTPBP1" "IDH2"
"618" "MYEF2" "IDH2"
"619" "GPR139" "IDH2"
"620" "AVIL" "IDH2"
"621" "C7orf50" "IDH2"
"622" "ADAT3" "IDH2"
"623" "PALM3" "IDH2"
"624" "KMT5C" "IDH2"
"625" "TAOK2" "IDH2"
"626" "HHIP" "IDH2"
"627" "CFHR5" "IDH2"
"628" "SVEP1" "IDH2"
"629" "SPDYE3" "IDH2"
"630" "IL18" "IDH2"
"631" "ANKRD6" "IDH2"
"632" "GFRA3" "IDH2"
"633" "KLHL26" "IDH2"
"634" "ZDHHC1" "IDH2"
"635" "ZNF527" "IDH2"
"636" "CCN3" "IDH2"
"637" "TAF5L" "IDH2"
"638" "PLEKHG4" "IDH2"
"639" "ARHGEF19" "IDH2"
"640" "HJV" "IDH2"
"641" "PPP1R3G" "IDH2"
"642" "GRID2" "IDH2"
"643" "BRD3" "IDH2"
"644" "ZNF417" "IDH2"
"645" "DIS3" "IDH2"
"646" "ZNF76" "IDH2"
"647" "KLHL23" "IDH2"
"648" "ZNF121" "IDH2"
"649" "ATAD1" "IDH2"
"650" "SMURF1" "IDH2"
"651" "TPRA1" "IDH2"
"652" "BTBD18" "IDH2"
"653" "ZNF668" "IDH2"
"654" "DUSP19" "IDH2"
"655" "PACRGL" "IDH2"
"656" "CD79A" "IDH2"
